Name,Total,Average
SR Tendulkar (IND),18426,200*
KC Sangakkara (Asia/ICC/SL),14234,169
RT Ponting (AUS/ICC),13704,164
ST Jayasuriya (Asia/SL),13430,189
V Kohli (IND),12898,183
DPMD Jayawardene (Asia/SL),12650,144
Inzamam-ul-Haq (Asia/PAK),11739,137*
JH Kallis (Afr/ICC/SA),11579,139
SC Ganguly (Asia/IND),11363,183
R Dravid (Asia/ICC/IND),10889,153
MS Dhoni (Asia/IND),10773,183*
CH Gayle (ICC/WI),10480,215
BC Lara (ICC/WI),10405,169
TM Dilshan (SL),10290,161*
RG Sharma (IND),9825,264
Mohammad Yousuf (Asia/PAK),9720,141*
AC Gilchrist (AUS/ICC),9619,172
AB de Villiers (Afr/SA),9577,176
M Azharuddin (IND),9378,153*
PA de Silva (SL),9284,145
Saeed Anwar (PAK),8824,194
S Chanderpaul (WI),8778,150
Yuvraj Singh (Asia/IND),8701,150
DL Haynes (WI),8648,152*
LRPL Taylor (NZ),8607,181*
MS Atapattu (SL),8529,132*
ME Waugh (AUS),8500,173
V Sehwag (Asia/ICC/IND),8273,219
Tamim Iqbal (BAN),8169,158
HM Amla (SA),8113,159
HH Gibbs (SA),8094,175
Shahid Afridi (Asia/ICC/PAK),8064,124
SP Fleming (ICC/NZ),8037,134*
MJ Clarke (AUS),7981,130
EJG Morgan (ENG/IRE),7701,148
SR Waugh (AUS),7569,120*
Shoaib Malik (PAK),7534,143
A Ranatunga (SL),7456,131*
Javed Miandad (PAK),7381,119*
MJ Guptill (NZ),7346,237*
Younis Khan (PAK),7249,144
Saleem Malik (PAK),7170,102
NJ Astle (NZ),7090,145*
Shakib Al Hasan (BAN),7086,134*
Mushfiqur Rahim (BAN),7045,144
GC Smith (Afr/SA),6989,141
WU Tharanga (Asia/SL),6951,174*
MG Bevan (AUS),6912,108*
G Kirsten (SA),6798,188*
S Dhawan (IND),6793,143
A Flower (ZIM),6786,145
IVA Richards (WI),6721,189*
BRM Taylor (ZIM),6684,145*
Mohammad Hafeez (PAK),6614,140*
GW Flower (ZIM),6571,142*
Ijaz Ahmed (PAK),6564,139*
KS Williamson (NZ),6554,148
AR Border (AUS),6524,127*
RB Richardson (WI),6248,122
JE Root (ENG),6207,133*
ML Hayden (AUS/ICC),6133,181*
BB McCullum (NZ),6083,166
DM Jones (AUS),6068,145
DA Warner (AUS),6030,179
DC Boon (AUS),5964,122
Q de Kock (SA),5949,178
JN Rhodes (SA),5935,121
Ramiz Raja (PAK),5841,119*
AD Mathews (SL),5835,139*
RR Sarwan (WI),5804,120*
CL Hooper (WI),5761,113*
SR Watson (AUS),5757,185*
H Masakadza (ZIM),5658,178*
SK Raina (IND),5615,116*
MN Samuels (WI),5606,133*
WJ Cronje (SA),5565,112
F du Plessis (SA),5507,185
MEK Hussey (AUS),5442,109*
IR Bell (ENG),5416,141
AJ Finch (AUS),5406,153*
A Jadeja (IND),5359,119
DR Martyn (AUS),5346,144*
PR Stirling (IRE),5252,177
G Gambhir (IND),5238,150*
ADR Campbell (ZIM),5185,131*
RS Mahanama (SL),5162,119*
CG Greenidge (WI),5134,133*
Misbah-ul-Haq (PAK),5122,96*
JP Duminy (SA),5117,150*
PD Collingwood (ENG),5092,120*
A Symonds (AUS),5088,156
Abdul Razzaq (Asia/PAK),5080,112
CL Cairns (ICC/NZ),4950,115
Mahmudullah (BAN),4950,128*
SPD Smith (AUS),4939,164
Babar Azam (PAK),4813,158
Aamer Sohail (PAK),4780,134
CD McMillan (NZ),4707,117
MD Crowe (NZ),4704,107*
MV Boucher (Afr/SA),4686,147*
