Name,Total,Average
V Kohli (IND),4008,122*
RG Sharma (IND),3853,118
MJ Guptill (NZ),3531,105
Babar Azam (PAK),3355,122
PR Stirling (IRE),3181,115*
AJ Finch (AUS),3120,172
DA Warner (AUS),2894,100*
JC Buttler (ENG),2713,101*
Mohammad Rizwan (PAK),2635,104*
Mohammad Hafeez (PAK),2514,99*
KS Williamson (NZ),2464,95
EJG Morgan (ENG),2458,91
Shoaib Malik (ICC/PAK),2435,75
Shakib Al Hasan (BAN),2281,84
KL Rahul (IND),2265,110*
GJ Maxwell (AUS),2159,145*
Q de Kock (SA),2156,79*
DA Miller (SA/World),2147,106*
BB McCullum (NZ),2140,123
Mahmudullah (BAN),2122,64*
AD Hales (ENG),2074,116*
Mohammad Shahzad (AFG),2015,118*
KJ O'Brien (IRE),1973,124
JP Duminy (SA),1934,96*
LRPL Taylor (NZ),1909,63
CH Gayle (WI),1899,117
TM Dilshan (SL),1889,104*
A Balbirnie (IRE),1857,83
DJ Malan (ENG),1810,103*
RD Berrington (SCOT),1784,100
S Dhawan (IND),1759,92
Tamim Iqbal (BAN/ICC/World),1758,103*
C Munro (NZ),1724,109*
Umar Akmal (PAK),1690,94
Mohammad Nabi (AFG),1686,89
SA Yadav (IND),1675,117
AB de Villiers (SA),1672,79*
H Masakadza (ZIM),1662,93*
Najibullah Zadran (AFG),1644,73
MS Dhoni (IND),1617,56
MN Samuels (WI),1611,89*
SK Raina (IND),1605,101
MP O'Dowd (NED),1589,133*
KA Pollard (WI),1569,75*
MDKJ Perera (SL),1539,84
F du Plessis (SA/World),1528,119
LMP Simmons (WI),1527,91*
JJ Roy (ENG),1522,78
Mushfiqur Rahim (BAN),1500,72*
KJ Coetzer (SCOT),1495,89
DPMD Jayawardene (SL),1493,100
Litton Das (BAN),1482,73
SC Williams (ZIM),1482,66
Ahmed Shehzad (PAK),1471,111*
E Lewis (WI),1465,125*
SR Watson (AUS),1462,124*
HG Munsey (SCOT),1438,127*
N Pooran (WI),1427,74*
Virandeep Singh (MAL),1423,96
Shahid Afridi (ICC/PAK),1416,54*
GD Phillips (NZ),1385,108
Asghar Afghan (AFG),1382,62
KC Sangakkara (SL),1382,78
RR Hendricks (SA),1372,74
Fakhar Zaman (PAK),1369,91
JM Bairstow (ENG),1337,90
MD Shanaka (SL),1328,74*
HM Amla (SA/World),1277,97*
HH Pandya (IND),1271,71*
GC Wilson (IRE),1268,65*
Sikandar Raza (ZIM),1259,87
DJ Bravo (WI),1255,66*
Syed Aziz (MAL),1243,87
BN Cooper (NED),1239,91*
CS MacLeod (SCOT),1238,74
DP Conway (NZ),1234,99*
CR Ervine (ZIM),1232,68*
Soumya Sarkar (BAN),1212,68
NLTC Perera (ICC/SL/World),1204,61
TP Ura (PNG),1202,107*
Yuvraj Singh (IND),1177,77*
KP Pietersen (ENG),1176,79
S Ssesazi (UGA),1175,100*
BKG Mendis (SL),1162,79
AD Mathews (SL),1148,81*
CO Obuya (KENYA),1111,75*
DS Airee (NEPAL),1103,110*
S Davizi (CZK-R),1093,115*
MR Marsh (AUS),1086,77*
Nizakat Khan (HKG),1081,81
WTS Porterfield (IRE),1079,72
MM Ali (ENG),1076,72*
P Nissanka (SL),1064,75
LD Chandimal (SL),1062,66*
Jatinder Singh (OMA),1056,73*
Ahmed Faiz (MAL),1045,86
HE van der Dussen (SA),1044,94*
SS Iyer (IND),1043,74*
Afif Hossain (BAN),1020,77*
MS Wade (AUS),1018,80
